GLITTER4.5: Laser Ablation Analysis Results;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C:\Element\user\Administrator\data\250605 Marijn Apetite 2\250605 Marijn Apetite 2.FIN;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Created: Thu Jun 05 18:07:32 2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
All values are reported in ppm;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GLITTER!: Trace Element Concentrations MDL filtered.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Element;N612-1;N612-2;N612-3;N610-1;2024-24-Colo-1;2024-24-Colo-2;2024-24-Colo-3;2024-24-Colo-4;2024-24-Colo-5;N612-4;N610-2;2024-24-Colo-6;2024-24-Colo-8;2024-24-Colo-9;2024-24-Colo-10;N612-5;N610-3;2024-24-Colo-11;2024-24-Colo-12;2024-24-Colo-13;Bonn-062-L9-Colo-14;Bonn-062-L9-Colo-15;Bonn-062-L9-Colo-16;N610-4;N610-5;N612-6;N612-7;N612-8
Ca43;85262.53;85262.53;85262.52;81475.92;285880.44;285880.44;285880.44;285880.44;285880.44;85262.53;81475.92;285880.44;285880.44;285880.44;285880.44;85262.52;81475.92;285880.44;285880.47;285880.47;285880.44;285880.44;285880.44;81475.93;81475.93;85262.52;85262.52;85262.52
Ca44;84616.98;88789.02;89705.04;85735.41;266013.31;258734.64;267595.38;250103.58;276280.53;79038.57;73165.37;290409.31;290868.13;355396.69;299836.72;79625.77;75472.35;301491.81;311607.25;289859.66;340252.38;341511.16;302429.16;75859.42;80617.66;83642.59;88887.14;88964.51
Cr52;38.1;37.72;40.26;489.65;<4.52;<4.03;<4.31;7.02;<3.82;44.34;498.97;13.57;<3.13;2.28;<2.73;44.34;497.22;<2.74;<2.64;<3.42;4.33;<2.33;4.44;486.45;467.84;38.19;38.88;38.79
Ni60;37.46;37.74;39.51;435.62;<8.76;10.6;<8.80;<8.63;<7.92;39.92;439.07;103.34;41.64;8.98;<7.13;37.82;445.6;<7.13;<7.32;<10.07;<7.16;<7.35;<6.97;465.07;464.91;34.04;39.63;40.66
Cu63;29.88;37.22;39.48;436.72;<4.48;<4.05;6.24;<4.22;<3.74;37.93;433.3;73.42;9.03;<1.98;<2.48;37.86;438.38;<2.48;3.89;<3.05;<2.18;<2.20;<2.04;447.28;429.5;36.6;37.17;35.34
Zn66;36.05;38.27;37.65;490.54;64.77;31.66;41.2;28.11;35.23;39.71;488.99;157.06;52.07;52.15;135.71;40.02;488.46;62.63;40.12;42.81;28.38;32.32;144.03;458.5;488.05;35.61;39.89;36.55
As75;37.62;31.05;39.22;382.96;<9.53;<9.05;<9.72;9.87;<10.82;45.82;417.82;58.71;13.06;12.99;9.19;45.53;393.12;<7.84;14.5;<9.49;15.13;19.18;68.08;367.19;346.75;36.41;36.75;32.6
Sr87;79.69;76.73;74.95;797.67;2308.52;2344.91;2386.58;1988.02;2167.01;71.28;808.82;3898.83;2202.68;2172.5;2226.02;76.2;864.9;2332.51;2290.95;2660.36;2587.82;2641.45;2479.65;879.4;928.41;76.99;79.48;74.71
Sr88;77.7;73.97;79.38;535.67;7513.82;7448.84;7091.41;6020.88;6787.16;72.53;519.1;14814.01;6905.7;8125.69;7142.94;75.46;546.68;7524.37;7694.92;8302;9028.94;9161.92;8024.61;539.62;541.39;75.26;77.38;77.48
Cd111;26.9;26.49;30.18;237.53;7.28;8.06;9.74;6.46;6.06;30.53;302.09;18.24;8.78;9.37;7.15;30.05;303.13;6.42;9.93;13.3;7.36;9.28;11.97;259.51;289.74;28.36;30.56;25.19
