Element;N612-1;N612-2;N612-3;N610-1;Bonn-259B-Notho-1;Bonn-259B-Notho-2;Bonn-259B-Notho-3;3036-Gyro-4;3036-Gyro-5;N612-4;N610-2;2024-60-Acr-6;2024-60-Acr-7;2024-60-Acr-8;2024-60-Acr-9;2024-60-Acr-10;N612-5;N610-3;2024-60-Acr-11;2024-60-Acr-12;2024-60-Acr-13;2024-60-Acr-14;2024-60-Acr-15;2024-60-Acr-16;N612-6;N610-4;Bonn-606-Colo-17;Bonn-606-Colo-18;Bonn-606-Colo-19;Bonn-606-Colo-20;Bonn-606-Colo-21;2024-129-Notho-22;N612-7;N610-5;2024-129-Notho-23;2024-129-Notho-24;2024-129-Notho-25;2024-129-Notho-26;2024-129-Notho-27;177-L45-Saur-28;177-L45-Saur-29;177-L45-Saur-30;2024-34-Acr-31;N612-8;N612-9;N610-6;2024-34-Acr-32;2024-34-Acr-33;2024-34-Acr-34;2024-34-Acr-35;2024-34-Acr-36;3329-Saur-37;3329-Saur-38;3329-Saur-39;3329-Saur-40;N612-10;N612-11;N610-7;3329-Saur-41;3329-Saur-42;3329-Saur-43;3329-L29-Acr-44;3329-L29-Acr-45;3329-L29-Acr-46;3329-L29-Acr-47;3329-L29-Acr-48;3329-L29-Acr-49;3329-L29-Acr-50;3329-L29-Acr-51;N610-8;N610-9;N612-12;N612-13;N612-14;N612-1;N612-2;N612-3;N610-1;2024-24-Colo-1;2024-24-Colo-2;2024-24-Colo-3;2024-24-Colo-4;2024-24-Colo-5;N612-4;N610-2;2024-24-Colo-8;2024-24-Colo-9;2024-24-Colo-10;N612-5;N610-3;2024-24-Colo-11;2024-24-Colo-12;2024-24-Colo-13;Bonn-062-L9-Colo-14;Bonn-062-L9-Colo-15;Bonn-062-L9-Colo-16;N610-4;N610-5;N612-6;N612-7;N612-8
Ca43;183.96;246.61;208.93;218.82;1560.36;1410.87;1269.8;1250.75;1278.81;206.99;225.28;1275.72;1349.08;1272.84;1231.08;1162.54;195.44;230.07;1299.27;1255.61;1313.38;1468.63;1194.84;1207.31;198.9;233.18;1400.04;1251.46;1184.46;1228.54;1098.06;1512.42;211.47;235.09;1306.4;1383.31;1346.72;1320.77;1300.4;8786.02;5239.97;8320.09;1618.13;199.87;217.86;231.7;1629.29;1400.01;1351.36;1387.02;1249.11;1567.2;1348.57;1268.44;1628.15;196.23;204.85;232.45;1387.03;1407.01;1502.59;1342.27;1418.18;1426.92;1519.04;1859.03;1929.43;1042.87;1015.37;232.96;236.6;197.86;215.94;202.26;462.76;344.12;347.62;366.16;1899.53;1741.8;1909.46;1802.51;1738.17;331.65;382.63;1497.94;1097.68;1359.13;357.56;412.5;1345.67;1407.7;1793.14;1326.17;1288.67;1236.36;450.01;424.9;375.34;364.31;348.84
Ca44;48.41;70.64;56.37;65.57;477.53;431.91;396.43;393.45;394.25;64.33;68.28;395.59;421.51;414;405.68;394.11;65.19;71.02;415.24;413.82;455.46;490;416.88;407.97;69.56;73.67;475.86;436.89;421.68;430.73;398.82;523.61;73.58;74.2;426.27;472.22;473.51;478.61;486.78;3045.28;1873.02;3076.58;571.49;72.12;67.14;76.35;561.58;492.5;493.57;496.55;476.98;557.27;488.54;456.73;595.11;74.34;65.43;80.45;477.27;512.29;522.38;479.94;511.83;510.92;541.98;672.3;708.18;378.52;366.22;82.88;73.87;66.68;69.73;67.67;116.12;95.53;105.86;124.51;777.07;723.34;794.95;782.55;737.4;144.54;151.59;707.18;503.71;630.03;169.72;176.6;601.43;646.37;860.54;629.91;633.2;609.99;220.55;186.73;173.15;166.73;163.86
Cr52;0.294;0.374;0.304;0.346;2.3;2.12;1.95;1.88;1.89;0.299;0.337;1.98;2.02;1.95;1.91;1.84;0.298;0.342;1.99;1.89;2.07;2.21;1.85;1.87;0.3;0.34;2.09;1.83;1.75;1.82;1.64;2.2;0.305;0.333;1.9;2.01;1.9;1.98;1.97;12.51;7.64;12.34;2.23;0.281;0.296;0.325;2.33;1.93;1.95;1.99;1.87;2.25;1.97;1.77;2.4;0.298;0.296;0.344;1.99;2.09;2.15;2.02;2.05;2.01;2.23;2.84;2.92;1.57;1.52;0.343;0.337;0.29;0.313;0.294;0.828;0.658;0.698;0.788;4.52;4.03;4.31;4.05;3.82;0.705;0.781;3.13;2.17;2.73;0.641;0.73;2.74;2.64;3.42;2.3;2.33;2.23;0.756;0.7;0.652;0.619;0.592
Ni60;1.02;1.56;1.31;1.39;10.17;9.49;8.75;8.72;8.64;1.42;1.58;9.24;9.47;9.07;8.82;8.7;1.45;1.73;9.76;9.4;10.21;10.91;9.39;9.09;1.54;1.8;10.9;9.77;9.43;9.49;8.61;12.03;1.66;1.84;10.58;10.83;10.43;10.8;10.8;68.17;41.92;69.54;13.05;1.62;1.78;1.92;14.06;11.33;11.27;11.15;11.15;13.08;11.12;10.53;13.78;1.72;1.75;2.03;11.87;12.14;12.53;11.46;12.33;12.08;12.96;15.78;16.95;9.15;8.93;1.99;2.11;1.78;1.92;1.86;1.99;1.49;1.51;1.64;8.76;7.93;8.8;8.63;7.92;1.68;1.98;8.2;5.66;7.13;2.02;2.38;7.13;7.32;10.07;7.16;7.35;6.97;2.56;2.54;2.33;2.18;2.1
Cu63;0.103;0.128;0.113;0.113;0.887;0.844;0.719;0.704;0.696;0.12;0.105;0.668;0.749;0.736;0.666;0.784;0.115;0.12;0.716;0.691;0.768;2.36;0.753;0.752;0.109;0.121;0.753;0.669;0.747;0.765;0.717;0.942;0.136;0.122;0.764;0.811;0.807;0.793;0.786;5.32;3.25;4.92;0.889;0.12;0.115;0.128;0.912;0.844;0.863;0.893;0.72;0.984;0.838;0.78;1.05;0.117;0.11;0.127;0.785;0.963;0.806;0.816;0.887;0.808;0.825;1.06;1.16;0.607;0.595;0.138;0.13;0.117;0.118;0.119;1.8;1.21;1.2;1.25;4.48;4.05;4.26;4.22;3.74;0.764;0.92;2.81;1.98;2.48;0.675;0.887;2.48;2.42;3.05;2.18;2.2;2.04;0.761;0.793;0.667;0.64;0.618
Zn66;0.656;0.918;0.715;0.794;4.72;4.77;4.77;4.9;4.67;0.716;0.819;4.42;4.44;4.4;4.27;4.79;0.849;0.788;4.07;4.59;4.73;4.67;4.5;4.3;0.76;0.686;5.61;4.67;4.43;4.47;4.14;5.39;0.76;0.747;4.43;4.69;4.99;5.35;4.57;30.91;18.54;33.27;5.99;0.675;0.743;0.873;7.14;4.83;5.19;5.14;4.73;5.75;4.98;4.77;6.22;0.779;0.696;0.787;4.47;4.96;6.33;4.52;5.26;5.25;5.16;6.67;6.98;3.67;3.71;0.973;0.728;0.718;0.646;0.622;2.14;1.52;1.4;1.46;8.35;7.12;8.01;8.26;6.98;1.36;1.6;6.18;4.22;4.6;1.26;1.19;4.56;4.72;6.79;4.7;5.02;4.59;1.61;1.34;1.41;1.2;1.28
As75;0.935;1.3;1.07;1.16;8.69;8.43;7.09;7.02;7.39;1.18;1.24;7.65;7.94;7.57;7.45;7.08;1.19;1.34;8.35;7.71;8.72;9.98;7.98;7.52;1.67;1.43;9.53;8.35;8.08;8.58;7.68;10.06;1.42;1.4;8.2;9.19;9.28;9.19;9.69;56.03;35.51;56.62;11.68;1.38;1.25;1.5;11.49;10.04;10.4;9.86;9.85;11.49;10.37;9.28;12.26;1.51;1.42;1.56;10.72;10.85;10.83;9.46;10.77;11.43;11.19;13.73;15.22;8.2;7.97;1.72;1.72;1.47;1.52;1.5;1.26;1.07;1.05;1.31;9.53;9.05;9.72;9.51;10.82;1.74;2.07;8.53;5.55;6.96;1.9;2.26;7.84;6.98;9.49;6.53;6.3;6;2.29;2.34;1.94;1.9;1.71
Sr87;0.0982;0.138;0.114;0.103;0.935;0.74;0.726;0.711;0.822;0.136;0.122;0.654;0.835;0.72;0.621;0.706;0.121;0.146;0.953;0.67;0.882;1.89;0.822;0.552;0.145;0.157;0.867;0.851;0.763;0.806;0.791;0.947;0.123;0.139;0.88;0.848;0.99;0.972;0.891;6.4;2.91;4.83;1.01;0.128;0.16;0.17;1.08;0.839;0.898;0.795;0.826;0.978;0.713;0.715;1.05;0.12;0.112;0.177;0.856;0.851;1.05;0.808;1.05;1.08;1.04;1.01;1.23;0.641;0.665;0.131;0.193;0.135;0.143;0.169;0.354;0.198;0.206;0.197;1.33;1.07;0.883;1.06;1.17;0.207;0.23;0.963;0.68;0.756;0.253;0.261;0.913;0.628;1.05;0.92;0.924;0.799;0.281;0.282;0.251;0.275;0.235
Sr88;0.0632;0.0834;0.0671;0.0776;0.518;0.499;0.444;0.432;0.427;0.071;0.0821;0.453;0.476;0.467;0.436;0.453;0.0684;0.0841;0.507;0.454;0.503;0.502;0.461;0.449;0.0754;0.0869;0.534;0.464;0.457;0.468;0.446;0.592;0.0816;0.09;0.513;0.528;0.547;0.503;0.526;3.31;2.12;3.31;0.621;0.0725;0.0844;0.0878;0.597;0.53;0.529;0.54;0.568;0.571;0.593;0.496;0.646;0.0787;0.0824;0.0965;0.577;0.555;0.57;0.561;0.56;0.579;0.58;0.738;0.753;0.392;0.415;0.0977;0.0995;0.0818;0.0904;0.0853;0.113;0.0847;0.1;0.104;0.656;0.565;0.683;0.651;0.634;0.118;0.143;0.579;0.437;0.518;0.153;0.174;0.566;0.523;0.786;0.534;0.556;0.522;0.194;0.186;0.167;0.156;0.151
Cd111;0.0897;0.129;0.0888;0.1;1.51;0.809;0.849;0.735;0.609;0;0.111;1;0;1.2;0.889;0.432;0;0;0.489;0.806;1.83;1.24;0.659;0.798;0;0;1.13;0;0.672;0.689;1.35;1.6;0.121;0;1.23;0;0;0;0.812;3.62;2.22;0;1.19;0.124;0.163;0.144;1.05;0;1.05;0;0.593;2.34;1.08;0.831;0;0.167;0.098;0;1.17;0.698;0;0.936;0;0;1.69;0;1.4;0.928;0.523;0.116;0.242;0;0;0.108;0.213;0.22;0;0.553;1.51;1.35;0;3.01;0;0.26;0;0;1.03;0;0.521;0.393;1.03;1.03;0;0;1.48;0;0.32;0.374;0.66;0.452;0.176
